,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
183,2610520875.0,44.4,27.4,59.2,40.0,32,336915.0,Pass,Successful,10
184,2610520889.0,68.9,46.1,75.8,39.3,32,439584.0,Pass,Unsuccessful,10
189,2610520971.0,13.1,61.1,30.2,66.9,167,136741.0,Pass,Unsuccessful,10
194,2610521085.0,63.7,35.5,55.5,31.5,32,248144.0,Pass,Successful,10
195,2610521197.0,54.4,32.0,43.5,53.4,32,99487.0,Pass,Successful,10
196,2610521349.0,32.6,54.6,31.4,22.4,32,22079.0,Pass,Successful,10
197,2610521463.0,35.4,55.1,34.4,77.6,32,99487.0,Pass,Successful,10
198,2610521515.0,28.6,71.5,23.9,50.8,32,22079.0,Pass,Successful,10
199,2610521595.0,25.5,49.5,76.3,87.7,32,260843.0,Pass,Unsuccessful,10
200,2610521617.0,27.2,13.9,33.0,16.6,167,69778.0,Pass,Successful,10
202,2610521687.0,31.3,16.9,16.1,18.9,167,331254.0,Pass,Successful,10
203,2610521811.0,16.1,18.9,21.6,38.5,167,69778.0,Pass,Successful,10
204,2610521853.0,32.6,59.3,40.3,95.8,167,313171.0,Pass,Successful,10
205,2610521953.0,40.6,93.1,34.4,62.8,167,402664.0,Pass,Successful,11
206,2610522031.0,36.3,63.5,42.5,51.5,167,313171.0,Pass,Successful,11
207,2610522071.0,43.2,50.5,55.1,47.8,167,303139.0,Pass,Successful,11
208,2610522211.0,54.8,43.9,45.6,18.9,167,101374.0,Pass,Successful,11
209,2610522303.0,42.6,12.0,95.4,9.3,167,69778.0,Pass,Successful,11
211,2610523145.0,5.2,60.0,3.4,51.4,32,22079.0,Pass,Successful,11
212,2610522825.0,5.1,55.9,14.0,87.4,32,260843.0,Pass,Successful,11
213,2610522897.0,18.5,84.0,7.5,57.2,32,100008.0,Pass,Successful,11
214,2610522993.0,8.8,50.8,54.3,13.2,32,260843.0,Pass,Unsuccessful,11
216,2610523151.0,43.5,83.9,40.9,60.1,167,402664.0,Pass,Successful,11
217,2610523257.0,42.8,55.7,61.6,4.1,167,101374.0,Pass,Successful,11
218,2610523319.0,70.6,11.0,72.4,25.4,167,331254.0,Pass,Successful,12
219,2610523355.0,70.7,31.1,68.9,46.6,167,365409.0,Pass,Successful,12
220,2610523457.0,68.9,46.6,82.9,86.3,167,303139.0,Pass,Successful,12
221,2610523481.0,89.0,68.6,74.9,61.5,167,113069.0,Pass,Unsuccessful,12
223,2610523787.0,75.5,28.6,69.5,65.3,32,439584.0,Pass,Successful,12
224,2610523831.0,72.5,71.7,73.5,81.4,32,69344.0,Pass,Successful,12
225,2610523923.0,75.4,86.0,87.9,83.6,32,123761.0,Pass,Successful,12
226,2610524067.0,83.2,92.3,86.3,82.8,32,69344.0,Pass,Successful,12
231,2610524163.0,67.1,91.7,70.1,91.9,32,123761.0,Pass,Unsuccessful,12
233,2610524927.0,32.7,4.4,40.9,3.6,167,331254.0,Pass,Successful,12
235,2610524315.0,41.1,4.6,68.6,38.4,167,365409.0,Pass,Unsuccessful,12
237,2610524437.0,27.9,49.2,29.3,30.9,32,99487.0,Pass,Successful,12
238,2610524563.0,29.2,33.3,29.4,73.5,32,353418.0,Pass,Successful,12
239,2610524619.0,31.9,67.4,37.3,74.3,32,22079.0,Pass,Successful,12
240,2610524693.0,37.4,74.1,52.6,77.2,32,123761.0,Pass,Successful,12
241,2610524747.0,38.8,71.2,29.3,47.9,32,336915.0,Pass,Successful,13
242,2610524913.0,27.9,47.6,17.5,50.1,32,22079.0,Pass,Successful,13
243,2610524947.0,19.7,49.0,24.5,67.0,32,260843.0,Pass,Successful,13
244,2610525109.0,24.2,59.5,13.4,46.1,32,22079.0,Pass,Successful,13
245,2610525139.0,13.9,46.3,14.7,77.3,32,260843.0,Pass,Successful,13
246,2610525199.0,16.2,79.2,20.1,96.4,32,22079.0,Pass,Successful,13
247,2610525293.0,19.1,90.3,9.2,53.1,32,100008.0,Pass,Successful,13
248,2610525355.0,12.1,44.0,53.3,43.7,32,260843.0,Pass,Unsuccessful,13
251,2610525985.0,54.2,43.2,53.0,33.0,32,69344.0,Pass,Successful,14
